Trial ID,Range/Row,Plot ID,Location Code,Count,Planting Area,Research Station,Trial Info,Entry Number,ABBRC1,ABBRC2,ABBRC3,Material ID,Admin Code,Responsible Store,CGenes,Material Lot,Plot Barcode,Delay in Planting,Material Store,MINT Container ID,Container ALT ID
16DRGJFG652P10C,/,1005,P10C,,,PHGS,GJ FG    652,5,SS6414BGT,,,16RC001229,16WEWG1009.5B/16WEWG1010,PHGS,Bt11;GA21B;TC1507,,GO208280981,,,AD81BB4E-85DF-4178-95D1-3E9A607AC68C,CNCHYNS945669
16DRGJFG652P11D,/,2005,P11D,,,PHGS,GJ FG    652,5,SS6414BGT,,,16RC001229,16WEWG1009.5B/16WEWG1010,PHGS,Bt11;GA21B;TC1507,,GO208280995,,,7AB23FCA-E99A-4455-BE41-D77A131B7D57,CNCHYNS945634
16DRGJFG652P11D,/,1005,P11D,,,PHGS,GJ FG    652,5,SS6414BGT,,,16RC001229,16WEWG1009.5B/16WEWG1010,PHGS,Bt11;GA21B;TC1507,,GO208281009,,,DCD1FAB4-29EC-405A-858B-251D8C2B6A22,CNCHYNS945602
16DRGJFG652P13B,/,1005,P13B,,,PHBB,GJ FG    652,5,SS6414BGT,,,16RC001229,16WEWG1009.5B/16WEWG1010,PHGS,Bt11;GA21B;TC1507,,GO208281065,,,A95F80D4-7D33-4B36-B28E-EC8D64528D47,CNCHYNS945605
16DRGJFG652P13B,/,2005,P13B,,,PHBB,GJ FG    652,5,SS6414BGT,,,16RC001229,16WEWG1009.5B/16WEWG1010,PHGS,Bt11;GA21B;TC1507,,GO208281051,,,5B220F42-DEB7-462D-A6C1-1191998479D3,CNCHYNS945597
16DRGJFG652P10A,/,1002,P10A,,,PHGS,GJ FG    652,2,NK6410BGT,,,16RC001260,16WEWG1015.6B/16WEWG1016,PHGS,Bt11;GA21B;TC1507,,GO208281040,,,AA43A1FD-6FB7-4C14-8D1B-6F00CC475077,CNCHYNS945639
16DRGJFG652P10A,/,2002,P10A,,,PHGS,GJ FG    652,2,NK6410BGT,,,16RC001260,16WEWG1015.6B/16WEWG1016,PHGS,Bt11;GA21B;TC1507,,GO208281026,,,E83D1349-78FA-469E-972F-BD6DDF36E7B8,CNCHYNS945648
16DRGJFG652P10C,/,2002,P10C,,,PHGS,GJ FG    652,2,NK6410BGT,,,16RC001260,16WEWG1015.6B/16WEWG1016,PHGS,Bt11;GA21B;TC1507,,GO208280970,,,AA5B9BB8-2367-49E7-AD8F-97FA2B1AED64,CNCHYNS945644
16DRGJFG652P10C,/,1002,P10C,,,PHGS,GJ FG    652,2,NK6410BGT,,,16RC001260,16WEWG1015.6B/16WEWG1016,PHGS,Bt11;GA21B;TC1507,,GO208280984,,,B9666FA2-1ACA-4BC4-B795-E216ECC47F8F,CNCHYNS945650
16DRGJFG652P11D,/,1002,P11D,,,PHGS,GJ FG    652,2,NK6410BGT,,,16RC001260,16WEWG1015.6B/16WEWG1016,PHGS,Bt11;GA21B;TC1507,,GO208281012,,,6A4590A9-0DA7-413A-AC2E-5E20BC7A6598,CNCHYNS945583
